age,gender,demographic_info,previous_search_history
66,non-binary,"Urban, Plano TX, parent of one, retired, consultant, homeowner, mid-income",nursery furniture; wedding venues; refinance calculator; family budgeting apps; healthy meal plans
25,male,"Small-town, Phoenix AZ, parent of one, new parent, chef, homeowner, low-income",bulk grocery deals; high-yield savings; dog grooming; standing desk; budget smartphones
31,male,"Suburban, Raleigh NC, parent of one, late-career, project manager, renter, low-income",used car listings; baby registry; lawn care services; fine dining; meal kit delivery
52,non-binary,"Suburban, Albuquerque NM, multi-generational household, freelancer, product manager, homeowner, high-income",noise-canceling headphones; baby registry; thrift stores; garden tools; meal prep services
38,non-binary,"Small-town, Irvine CA, parent of three, entrepreneur, retail associate, renter, mid-income",thrift stores; streaming services; home improvement loans; garden tools; yoga classes
23,male,"Urban, San Francisco CA, parent of three, new parent, UX researcher, renter, mid-income",public transit passes; gaming laptop deals; bulk grocery deals; wireless earbuds; home improvement loans
22,non-binary,"Urban, Boise ID, multi-generational household, mid-career, data analyst, homeowner, high-income",kids soccer gear; tutoring services; pet-friendly apartments; backyard playsets; after-school programs
29,non-binary,"Suburban, Boston MA, cohabiting, retired, real estate agent, homeowner, high-income",online MBA; streaming services; bike commuter gear; school district rankings; nursery furniture
22,male,"Small-town, Kansas City MO, parent of one, new parent, marketing associate, homeowner, high-income",meal prep services; public transit passes; DIY basement remodel; outdoor patio sets; used textbooks
21,male,"Rural, Boston MA, married, new parent, customer support lead, homeowner, mid-income",brunch spots; resume templates; noise-canceling headphones; outdoor patio sets; local coffee shops
59,female,"Rural, Jersey City NJ, empty nester, career switcher, nurse, renter, mid-income",pet-friendly apartments; gaming laptop deals; compact furniture; auto loan rates; lawn care services
20,female,"Small-town, Las Vegas NV, multi-generational household, career switcher, customer support lead, renter, mid-income",personal training; home warranty; credit card rewards; tax prep software; gaming laptop deals
61,non-binary,"Urban, Cleveland OH, married, freelancer, teacher, homeowner, mid-income",backyard playsets; school district rankings; wireless earbuds; compact furniture; brunch spots
60,female,"Rural, Kansas City MO, parent of three, early-career, customer support lead, renter, mid-income",interview prep; meal kit delivery; wireless earbuds; fine dining; protein powder
23,non-binary,"Small-town, Albuquerque NM, parent of two, college student, data analyst, homeowner, low-income",family budgeting apps; gaming laptop deals; roadside assistance; smart thermostats; bulk grocery deals
26,female,"Urban, Minneapolis MN, married, career switcher, writer, renter, high-income",gaming laptop deals; fine dining; dog grooming; meal kit delivery; school district rankings
28,female,"Suburban, Las Vegas NV, single, entrepreneur, data analyst, renter, mid-income",home warranty; outdoor patio sets; family vacation packages; vitamin subscriptions; tutoring services
37,male,"Suburban, Madison WI, empty nester, retired, retail associate, homeowner, high-income",protein powder; wedding venues; minivan safety ratings; after-school programs; family health insurance
34,female,"Small-town, Madison WI, multi-generational household, graduate student, photographer, renter, mid-income",compact furniture; minivan safety ratings; refinance calculator; outdoor patio sets; healthy meal plans
27,male,"Urban, Los Angeles CA, empty nester, freelancer, software engineer, homeowner, low-income",high-yield savings; auto loan rates; personal training; tutoring services; credit card rewards
23,male,"Suburban, Seattle WA, parent of two, graduate student, operations coordinator, homeowner, low-income",family health insurance; used textbooks; home warranty; kitchen renovation ideas; outdoor patio sets
57,female,"Urban, Seattle WA, parent of one, mid-career, nurse, homeowner, low-income",home warranty; tutoring services; hybrid SUV tax credits; international flights; productivity apps
33,male,"Small-town, Boston MA, married, retired, customer support lead, renter, high-income",healthy meal plans; local coffee shops; tutoring services; kids soccer gear; electric vehicle incentives
45,female,"Rural, San Francisco CA, parent of three, early-career, consultant, renter, high-income",yoga classes; cloud certification courses; protein powder; remote jobs; auto loan rates
68,non-binary,"Urban, Ann Arbor MI, empty nester, college student, operations coordinator, homeowner, mid-income",backyard playsets; thrift stores; running shoes; cloud certification courses; console bundles
33,non-binary,"Urban, Oakland CA, parent of two, early-career, marketing associate, homeowner, high-income",gaming laptop deals; lawn care services; DIY basement remodel; car insurance quotes; SUV reviews
69,female,"Urban, Richmond VA, single, late-career, sales manager, renter, low-income",noise-canceling headphones; bike commuter gear; public transit passes; healthy meal plans; high-yield savings
70,non-binary,"Small-town, Atlanta GA, single, mid-career, retail associate, homeowner, low-income",wireless earbuds; refinance calculator; international flights; personal training; baby registry
43,non-binary,"Small-town, Ann Arbor MI, parent of two, early-career, chef, homeowner, mid-income",gluten-free recipes; refinance calculator; compact furniture; honeymoon packages; baby registry
56,female,"Rural, Pittsburgh PA, married, graduate student, project manager, homeowner, mid-income",outdoor patio sets; honeymoon packages; home improvement loans; nursery furniture; console bundles
46,female,"Rural, Newark NJ, parent of three, late-career, operations coordinator, renter, low-income",budget planner; yoga classes; healthy meal plans; minivan safety ratings; free events near me
27,non-binary,"Small-town, Chicago IL, cohabiting, graduate student, accountant, homeowner, mid-income",credit card rewards; online MBA; used textbooks; school district rankings; outdoor patio sets
41,male,"Small-town, Boston MA, cohabiting, career switcher, data analyst, homeowner, mid-income",first-time homebuyer programs; kids dental plans; premium skincare; free events near me; SUV reviews
49,non-binary,"Small-town, Boulder CO, married, late-career, barista, homeowner, low-income",home warranty; roadside assistance; after-school programs; international flights; family health insurance
22,male,"Suburban, Las Vegas NV, married, freelancer, consultant, homeowner, high-income",cloud certification courses; resume templates; remote jobs; electric vehicle incentives; hybrid SUV tax credits
28,non-binary,"Suburban, Madison WI, multi-generational household, mid-career, teacher, renter, low-income",tutoring services; used car listings; free events near me; yoga classes; resume templates
54,male,"Small-town, Boulder CO, cohabiting, new parent, product manager, renter, mid-income",high-yield savings; car insurance quotes; protein powder; tax prep software; local coffee shops
22,female,"Rural, Boston MA, empty nester, retired, consultant, homeowner, low-income",resume templates; farmers market; SUV reviews; fine dining; baby registry
50,female,"Urban, Boise ID, cohabiting, late-career, designer, renter, mid-income",bulk grocery deals; console bundles; gluten-free recipes; home warranty; compact furniture
34,female,"Rural, Raleigh NC, parent of one, new parent, writer, renter, high-income",home improvement loans; farmers market; brunch spots; school district rankings; gaming laptop deals
54,female,"Urban, Plano TX, single, new parent, barista, renter, high-income",wedding venues; free events near me; used car listings; remote jobs; electric vehicle incentives
59,male,"Small-town, San Francisco CA, parent of three, late-career, real estate agent, renter, high-income",standing desk; minivan safety ratings; nursery furniture; wedding venues; car insurance quotes
47,female,"Rural, Jersey City NJ, cohabiting, freelancer, project manager, homeowner, mid-income",fine dining; personal training; healthy meal plans; interview prep; pet-friendly apartments
38,female,"Small-town, Phoenix AZ, parent of one, retired, accountant, renter, low-income",productivity apps; electric vehicle incentives; credit card rewards; wedding venues; kids dental plans
28,male,"Rural, Portland OR, cohabiting, retired, photographer, homeowner, mid-income",public transit passes; used car listings; thrift stores; boutique fitness classes; high-yield savings
50,male,"Suburban, San Diego CA, parent of two, college student, marketing associate, homeowner, mid-income",dog grooming; kitchen renovation ideas; home warranty; vitamin subscriptions; student discounts
24,male,"Suburban, Atlanta GA, parent of two, entrepreneur, data analyst, renter, mid-income",productivity apps; online MBA; interview prep; smart thermostats; yoga classes
53,male,"Urban, Ann Arbor MI, multi-generational household, retired, writer, homeowner, high-income",international flights; fine dining; weekend city trips; high-yield savings; personal training
68,male,"Rural, Denver CO, single parent, new parent, photographer, homeowner, high-income",noise-canceling headphones; used textbooks; family health insurance; wireless earbuds; kitchen renovation ideas
51,male,"Suburban, Jersey City NJ, multi-generational household, early-career, project manager, homeowner, low-income",high-yield savings; hybrid SUV tax credits; farmers market; gaming laptop deals; auto loan rates
50,non-binary,"Small-town, Irvine CA, parent of one, retired, software engineer, homeowner, mid-income",premium skincare; wedding venues; brunch spots; public transit passes; free events near me
56,male,"Rural, Oakland CA, single parent, college student, warehouse supervisor, homeowner, low-income",protein powder; meal kit delivery; kids soccer gear; kids dental plans; used textbooks
54,non-binary,"Urban, Portland OR, single, retired, project manager, homeowner, low-income",tax prep software; affordable childcare; auto loan rates; kitchen renovation ideas; standing desk
63,female,"Suburban, Boulder CO, parent of two, retired, photographer, homeowner, mid-income",lawn care services; garden tools; vitamin subscriptions; gaming laptop deals; remote jobs
40,non-binary,"Rural, Newark NJ, empty nester, mid-career, accountant, homeowner, high-income",hybrid SUV tax credits; bulk grocery deals; home warranty; affordable childcare; roadside assistance
38,male,"Rural, Boulder CO, parent of one, late-career, teacher, homeowner, mid-income",console bundles; kids soccer gear; electric vehicle incentives; noise-canceling headphones; home warranty
63,female,"Rural, Las Vegas NV, parent of one, retired, sales manager, renter, high-income",refinance calculator; interview prep; family health insurance; pet-friendly apartments; farmers market
33,female,"Urban, Boise ID, single parent, mid-career, marketing associate, renter, mid-income",wireless earbuds; kitchen renovation ideas; weekend city trips; family health insurance; budget smartphones
53,female,"Small-town, St. Louis MO, empty nester, mid-career, retail associate, homeowner, mid-income",standing desk; boutique fitness classes; local coffee shops; family vacation packages; vitamin subscriptions
65,non-binary,"Urban, Miami FL, parent of three, early-career, marketing associate, homeowner, mid-income",SUV reviews; electric vehicle incentives; used textbooks; student discounts; hybrid SUV tax credits
54,non-binary,"Urban, Cleveland OH, parent of one, retired, operations coordinator, homeowner, low-income",auto loan rates; DIY basement remodel; refinance calculator; smart thermostats; premium skincare
39,female,"Small-town, Atlanta GA, cohabiting, college student, project manager, homeowner, high-income",smart thermostats; lawn care services; budget planner; honeymoon packages; healthy meal plans
38,female,"Small-town, Columbus OH, cohabiting, early-career, chef, homeowner, low-income",budget smartphones; mortgage rates; credit card rewards; tutoring services; outdoor patio sets
66,male,"Rural, Kansas City MO, single, late-career, operations coordinator, homeowner, high-income",tutoring services; standing desk; international flights; DIY basement remodel; public transit passes
28,male,"Rural, Phoenix AZ, parent of one, freelancer, customer support lead, renter, low-income",family health insurance; car insurance quotes; school district rankings; garden tools; personal training
44,non-binary,"Small-town, Charleston SC, single parent, mid-career, consultant, renter, high-income",outdoor patio sets; protein powder; yoga classes; meal prep services; online MBA
25,female,"Suburban, Irvine CA, multi-generational household, early-career, designer, homeowner, high-income",nursery furniture; premium skincare; affordable childcare; brunch spots; roadside assistance
23,non-binary,"Small-town, New York NY, empty nester, early-career, photographer, homeowner, mid-income",online MBA; standing desk; interview prep; DIY basement remodel; public transit passes
64,female,"Small-town, Atlanta GA, single, mid-career, warehouse supervisor, renter, low-income",honeymoon packages; console bundles; cloud certification courses; remote jobs; standing desk
22,male,"Urban, Minneapolis MN, parent of three, early-career, nurse, homeowner, mid-income",meal kit delivery; outdoor patio sets; compact furniture; remote jobs; family health insurance
59,male,"Urban, Miami FL, multi-generational household, entrepreneur, photographer, renter, high-income",bulk grocery deals; budget smartphones; thrift stores; hybrid SUV tax credits; DIY basement remodel
61,non-binary,"Small-town, Charleston SC, parent of three, mid-career, accountant, homeowner, mid-income",school district rankings; first-time homebuyer programs; smart thermostats; premium skincare; used textbooks
69,non-binary,"Small-town, Newark NJ, single, mid-career, sales manager, renter, low-income",dog grooming; used textbooks; outdoor patio sets; productivity apps; kids dental plans
65,female,"Small-town, Las Vegas NV, single parent, career switcher, sales manager, renter, low-income",auto loan rates; electric vehicle incentives; family vacation packages; local coffee shops; bike commuter gear
54,non-binary,"Rural, San Francisco CA, parent of one, early-career, consultant, renter, mid-income",hybrid SUV tax credits; first-time homebuyer programs; standing desk; interview prep; farmers market
65,female,"Small-town, Boulder CO, empty nester, college student, data analyst, homeowner, high-income",bike commuter gear; wedding venues; tax prep software; school district rankings; hybrid SUV tax credits
42,female,"Small-town, San Francisco CA, single parent, late-career, nurse, homeowner, low-income",interview prep; tax prep software; wedding venues; protein powder; family health insurance
42,female,"Rural, San Diego CA, parent of two, graduate student, real estate agent, homeowner, low-income",vitamin subscriptions; smart thermostats; productivity apps; refinance calculator; meal kit delivery
61,non-binary,"Urban, Boston MA, single parent, new parent, consultant, renter, mid-income",affordable childcare; wireless earbuds; hybrid SUV tax credits; student discounts; family budgeting apps
30,non-binary,"Urban, St. Louis MO, single parent, new parent, sales manager, homeowner, low-income",resume templates; streaming services; home warranty; meal kit delivery; DIY basement remodel
52,non-binary,"Rural, Kansas City MO, parent of one, freelancer, photographer, homeowner, mid-income",weekend city trips; kitchen renovation ideas; bike commuter gear; affordable childcare; personal training
38,male,"Urban, Irvine CA, single parent, early-career, software engineer, homeowner, high-income",brunch spots; wedding venues; electric vehicle incentives; school district rankings; after-school programs
39,female,"Small-town, Irvine CA, single parent, retired, writer, homeowner, mid-income",roadside assistance; garden tools; home improvement loans; running shoes; family health insurance
64,non-binary,"Small-town, Miami FL, multi-generational household, college student, photographer, renter, low-income",productivity apps; budget smartphones; tax prep software; family health insurance; family vacation packages
22,non-binary,"Suburban, Austin TX, single parent, career switcher, real estate agent, homeowner, low-income",car insurance quotes; roadside assistance; thrift stores; budget smartphones; vitamin subscriptions
53,male,"Urban, Seattle WA, multi-generational household, late-career, writer, homeowner, low-income",auto loan rates; baby registry; lawn care services; pet-friendly apartments; weekend city trips
51,female,"Suburban, Portland OR, multi-generational household, late-career, data analyst, homeowner, mid-income",compact furniture; personal training; budget planner; garden tools; online MBA
33,non-binary,"Suburban, Kansas City MO, married, college student, product manager, homeowner, mid-income",meal kit delivery; resume templates; kitchen renovation ideas; standing desk; student discounts
62,female,"Urban, Omaha NE, parent of three, freelancer, warehouse supervisor, renter, high-income",noise-canceling headphones; family vacation packages; family budgeting apps; online MBA; kitchen renovation ideas
35,female,"Urban, Charlotte NC, multi-generational household, new parent, consultant, renter, low-income",bike commuter gear; thrift stores; affordable childcare; farmers market; kids soccer gear
66,non-binary,"Small-town, Boston MA, parent of one, early-career, warehouse supervisor, renter, high-income",credit card rewards; remote jobs; wireless earbuds; family health insurance; compact furniture
50,non-binary,"Rural, New York NY, married, entrepreneur, accountant, renter, mid-income",dog grooming; high-yield savings; streaming services; free events near me; refinance calculator
68,male,"Small-town, Los Angeles CA, parent of two, career switcher, UX researcher, homeowner, low-income",brunch spots; meal kit delivery; compact furniture; electric vehicle incentives; kids dental plans
63,female,"Urban, Charlotte NC, cohabiting, entrepreneur, operations coordinator, renter, high-income",credit card rewards; bike commuter gear; yoga classes; pet-friendly apartments; boutique fitness classes
18,male,"Small-town, Madison WI, parent of one, graduate student, nurse, renter, low-income",baby registry; outdoor patio sets; interview prep; healthy meal plans; tax prep software
24,female,"Urban, Salt Lake City UT, multi-generational household, graduate student, customer support lead, homeowner, mid-income",student discounts; electric vehicle incentives; tax prep software; credit card rewards; compact furniture
64,non-binary,"Suburban, Irvine CA, multi-generational household, early-career, consultant, homeowner, low-income",family health insurance; refinance calculator; hybrid SUV tax credits; used car listings; kids soccer gear
22,female,"Small-town, Charlotte NC, parent of three, late-career, chef, renter, mid-income",backyard playsets; kids dental plans; used car listings; dog grooming; after-school programs
47,female,"Suburban, Kansas City MO, single, entrepreneur, project manager, homeowner, mid-income",nursery furniture; wireless earbuds; baby registry; dog grooming; family health insurance
37,male,"Suburban, St. Louis MO, parent of two, early-career, UX researcher, homeowner, mid-income",roadside assistance; local coffee shops; kids dental plans; streaming services; meal kit delivery
